wt_60min_1,wt_60min_2,genome_60min_1,genome_60min_2
71051.332711,70539.525585,77352.473291,73620.34497
87651.47436600001,70282.782148,75244.246181,68851.52112800001
59462.178408,70394.201959,51512.983033,57835.212109
58093.410518,75794.336751,76740.116839,77179.430065
77523.17922,77989.71012,62398.587655,57387.002044
73896.40065200001,72700.830447,72565.447324,69565.546294
62829.534754,75244.246181,85220.379455,84552.546346
86526.775399,64725.846879,75794.336751,76193.12167200001
74776.329172,72005.241605,76193.12167200001,75794.336751
75490.137512,76740.116839,70157.306683,67609.428663
77179.430065,77352.473291,71527.698697,71722.841426
62962.111713000006,67031.252348,69483.765459,64223.401398
86713.173525,85009.37193,66253.847755,67521.411133
69565.546294,75578.865816,74952.951145,76601.868722
74174.221136,79422.120577,87651.47436600001,85009.37193
72905.785876,64037.027173,54879.551618000005,62016.28698700001
94590.462746,65019.69950100001,66422.56624300001,59797.947065
85220.379455,65842.31336,83186.988481,77989.71012
48898.255847,55080.105657,46447.577094,58227.488301
72143.79165,63452.496595,67521.411133,64791.59267
70394.201959,78526.340139,64037.027173,64401.337438
74040.700171,75490.137512,74776.329172,75490.137512
83813.16184799999,82871.026606,74427.50025299999,72565.447324
75578.865816,84813.34446000001,94355.521675,93540.5434
88086.894243,80975.064805,39166.526561,41099.906895
76899.005041,71852.23582,67609.428663,68674.485913
52197.076827,96165.544298,63888.74109,83986.432512
75380.86078,63167.936939,59553.93517699999,60905.373074
47052.453698,77867.155896,75380.86078,85220.379455
76193.12167200001,67399.322916,59741.16111,58367.818631999995
70157.306683,77179.430065,86951.65896900001,75380.86078
59856.342927,50724.70633,42801.346594999995,55190.199872000005
113324.08406,69369.73911,65019.69950100001,70394.201959
64725.846879,66585.566366,45469.015808,44963.486339
53405.94791,63785.814743,73071.350822,72143.79165
79936.69424800001,65561.613183,81608.367061,72005.241605
68430.541751,68186.614621,69565.546294,70539.525585
56127.498265999995,68430.541751,59184.784984000005,67894.830195
41823.010489,85540.738849,84813.34446000001,91793.168892
92079.977308,73175.13454700001,67399.322916,79735.53931
69133.389067,70157.306683,70282.782148,69271.354217
85009.37193,87126.255008,91136.41558100001,79422.120577
60357.533028,60512.218695999996,55327.04188399999,62962.111713000006
48435.246628,76899.005041,85540.738849,89314.046782
46113.566341,45390.458153,39553.520743,43575.903784999995
77989.71012,80152.46177600001,65706.91266399999,64696.100255
73071.350822,83510.54734199999,91311.790718,84396.15779699999
46963.030721,71290.01655999999,79245.21096299999,80846.077615
45604.300664,71196.328424,77179.430065,76899.005041
68331.31269,69899.954209,58763.046475,55420.404984
61228.23956,74174.221136,70040.28707699999,67399.322916
86951.65896900001,64111.320319000006,50198.900795,55713.217140999994
80367.98222600001,68577.51412400001,68186.614621,71290.01655999999
84813.34446000001,69133.389067,59354.43157,58557.900438000004
82573.301619,85921.763746,88737.212223,88986.688758
80152.46177600001,73071.350822,91793.168892,89705.34744700001
76368.940225,71376.433724,73620.34497,73454.330017
71376.433724,59089.84656,64480.253247,60835.863312999994
74952.951145,76193.12167200001,73454.330017,69762.168313
64111.320319000006,62745.646560999994,60016.76453,60990.37338799999
65561.613183,62489.089038,64401.337438,58137.115197
65359.94459499999,71722.841426,62962.111713000006,58595.15910999999
77352.473291,57617.320822,58856.225031,57955.923096
58137.115197,71051.332711,78929.759441,73327.47124000001
54807.235433,73454.330017,48811.794293,70739.159726
63712.139567,68851.52112800001,50078.580876,46671.851378
61032.508388,52363.52693,49549.739760000004,49425.523881999994
67894.830195,62160.817016999994,69271.354217,69013.729145
71852.23582,60691.062717999994,63061.071094,62092.853864000004
65706.91266399999,69483.765459,75578.865816,75578.865816
69369.73911,59949.738775,65459.194795,59278.850763999995
62600.038514,65706.91266399999,76601.868722,74427.50025299999
68090.31936,58428.113057,70394.201959,63452.496595
66422.56624300001,64321.603586000005,58595.15910999999,52691.868074
62398.587655,63367.26875999999,64696.100255,65911.332445
78929.759441,68090.31936,80152.46177600001,86951.65896900001
70739.159726,59278.850763999995,61807.807609999996,62398.587655
67609.428663,64592.835638000004,44995.922783,47222.686096000005
47966.150693,62962.111713000006,70539.525585,66422.56624300001
73742.127165,64223.401398,68430.541751,60016.76453
66253.847755,65982.793693,72256.59583,67174.91751
64696.100255,62398.587655,64111.320319000006,59382.964959000004
51762.503406,75380.86078,95609.739934,91311.790718
76740.116839,57778.62744,64223.401398,59354.43157
59658.449988,56574.471708,62092.853864000004,65459.194795
79422.120577,61593.80959600001,78682.626347,65561.613183
57617.320822,50655.717586,47860.592533,50017.845408
58911.215889,55666.500446,56886.432407,55273.544067
55190.199872000005,69271.354217,71290.01655999999,73896.40065200001
69013.729145,66422.56624300001,65842.31336,70157.306683
64480.253247,56061.137738,62290.61759200001,54954.004352
53272.321811,57895.396788,70739.159726,65359.94459499999
68851.52112800001,68674.485913,58911.215889,64037.027173
61096.17914,81346.314561,60357.533028,60512.218695999996
57835.212109,61405.818236,60761.013918,61032.508388
59184.784984000005,58048.774836,58258.689969,58957.05033400001
74427.50025299999,60016.76453,64918.110198,65019.69950100001
64546.91658,62829.534754,65242.539336,64480.253247
61807.807609999996,56407.402390999996,61228.23956,61288.761612
65911.332445,44809.819871,43174.352836,57303.565231
53218.206272,64480.253247,58048.774836,62160.817016999994
60905.373074,62290.61759200001,57480.59465299999,58428.113057
63785.814743,55273.544067,60905.373074,54665.504313
55136.61217200001,55897.798835,59900.34976,66333.110123
67031.252348,53821.733142000005,63712.139567,52835.215511
57148.35529200001,64696.100255,65911.332445,64111.320319000006
60134.245048,58763.046475,63647.421160000005,63258.548604999996
71196.328424,67296.22409599999,71852.23582,73742.127165
60073.749127999996,61696.559027,61945.40904099999,59027.013233000005
60990.37338799999,58911.215889,52285.827742,61483.303266999996
66874.451289,65242.539336,42153.772688,45433.520552
78270.07479700001,72905.785876,68090.31936,73071.350822
