env_0min_1,env_0min_2,env_5min_1,env_5min_2
70556.859895,67582.45806599999,63586.570099000004,61900.302478
67582.45806599999,72566.21436900001,61300.275601999994,66231.970906
91340.961774,84628.85652599999,51522.939782,48215.481061000006
66860.920898,60427.85737,61900.302478,68027.506481
62090.474077000006,61900.302478,63386.323451,70444.641626
63634.97891799999,66231.970906,62498.270945,67355.81161
66398.629939,67466.579125,64562.168797,62982.049827999996
65158.898010000004,58747.58664000001,62736.359829999994,62432.681047000005
76707.46538400001,70044.200189,68768.247364,72003.400406
52691.995279,75014.784332,70821.711125,70107.383468
65737.17471600001,63513.354837,64253.311795999995,58093.667117
70928.854255,64848.170744999996,59176.36193200001,63071.134826
65858.876548,65310.006161,62612.949421000005,67238.437389
75632.81603100001,67750.747248,61581.681281000005,66398.629939
92477.645205,75632.81603100001,88275.002382,56761.031510999994
69651.04044699999,65998.30624800001,62432.681047000005,64403.078992999996
45924.997365,83634.079985,66301.324414,86815.883241
76086.181319,85518.593621,90678.28823899999,65592.191737
75550.457043,83171.93423,56054.50661900001,53236.828905999995
107529.84775,73528.276851,111717.03078,55583.66112799999
62174.013874,66813.563106,63634.97891799999,72292.27417
56275.337123000005,60515.89531199999,67355.81161,65681.354995
56191.013962000005,58573.512754999996,63513.354837,67750.747248
68382.994278,68027.506481,54293.18780199999,58747.58664000001
57410.387649,67940.43809400001,58664.401969,65369.158103999995
58225.977082,54503.226668999996,58373.367854,64901.080801000004
64848.170744999996,62789.10978700001,71384.580279,71831.322271
51384.503412000005,76962.33763,68027.506481,67940.43809400001
51986.489096,59610.935534000004,59433.104856000005,76962.33763
54323.618507,75365.57156499999,53933.703090999996,83634.079985
66975.80068,62002.896198,57968.968496,62174.013874
63386.323451,62498.270945,69878.918044,75550.457043
72292.27417,65158.898010000004,61062.240585,65044.825593
70348.564109,78821.42725899999,59831.342426999996,51012.088721
60733.160679,71236.875856,63071.134826,62736.359829999994
77416.535566,74301.517269,52499.089590999996,52260.170798
75781.635624,63634.97891799999,72951.195536,55888.549514
62002.896198,66720.559991,55583.66112799999,59433.104856000005
53338.450515,53394.67099500001,58536.235290000004,62090.474077000006
74136.177777,62982.049827999996,57293.184623,57141.618727
63939.289385,29162.605996,150124.58963,41337.456205
67355.81161,69878.918044,68190.53501600001,69501.771683
70231.618661,65858.876548,58288.056283,58804.216275
103321.805152,62432.681047000005,116018.41946,54801.630382
66580.994938,67100.72358800001,63291.236113,57496.297146000004
64471.779732,63129.192555,64006.97681099999,68685.642748
51172.117664000005,69651.04044699999,65681.354995,68382.994278
63811.145258000004,65681.354995,55836.386731,66975.80068
59831.342426999996,51327.826151,58573.512754999996,58162.911181999996
68946.01265399999,55836.386731,60515.89531199999,76886.543527
60841.484057,61581.681281000005,57410.387649,58039.578535
56970.566802999994,56925.108221999995,57141.618727,70556.859895
61062.240585,60841.484057,57781.858154,60427.85737
64562.168797,55414.307536,59012.478779,64076.30037700001
61243.191758999994,51660.1376,60427.85737,55243.68645
59898.026014,63710.350605,57652.911604999994,65487.551769
63291.236113,60324.161928,55707.906640999994,57918.673945
79672.275989,63291.236113,79965.127498,60841.484057
63586.570099000004,56116.95953000001,55052.395534999996,62920.145218000005
58536.235290000004,57410.387649,55788.25246999999,61711.083045
94235.523934,59502.004046,100684.209104,41882.705527
60515.89531199999,60733.160679,54965.534118999996,64006.97681099999
58664.401969,59176.36193200001,60996.72945100001,55707.906640999994
63710.350605,62287.016714000005,60613.140574,61757.00601
59342.32721599999,55888.549514,54199.90452900001,61581.681281000005
77119.031631,55147.867217000006,96094.51789,60260.502214
57781.858154,70107.383468,56530.454235,69651.04044699999
61581.681281000005,60060.907616000004,53674.98824399999,58573.512754999996
63071.134826,61532.682896000006,54572.866801000004,63222.93287599999
52260.170798,48863.234317,66580.994938,70348.564109
63129.192555,58872.326675,49604.899243,60112.340018999996
48643.582168,68461.580507,70444.641626,68124.556169
78973.640945,59342.32721599999,67750.747248,61135.152118000005
65592.191737,52118.831546,76962.33763,73243.701128
68614.962315,71506.43929099999,60324.161928,65737.17471600001
64253.311795999995,40139.701784,56606.453251000006,64253.311795999995
61300.275601999994,62612.949421000005,64743.949095,62612.949421000005
69501.771683,70821.711125,45484.927257999996,48327.539983999995
61824.127465000005,60943.821169999996,59898.026014,58288.056283
59772.63280400001,55243.68645,54646.409542,56662.68079
52889.72930299999,54646.409542,59610.935534000004,59012.478779
49731.123615000004,68382.994278,59676.679541000005,68768.247364
62287.016714000005,58093.667117,56849.15347,55836.386731
68258.01881200001,56275.337123000005,64650.103622999995,66580.994938
56116.95953000001,50705.0826,57079.113149000004,64743.949095
60427.85737,61757.00601,56925.108221999995,59078.397667
73066.867853,66860.920898,46171.533018,44887.273163
53860.314971,56191.013962000005,57728.385065,59176.36193200001
56427.283918999994,56530.454235,53476.26594699999,60613.140574
76432.743,59078.397667,74596.376911,47863.023279
65487.551769,55636.380423,56970.566802999994,53476.26594699999
54293.18780199999,62174.013874,57591.090257,62361.231667
56662.68079,49604.899243,58804.216275,65158.898010000004
56237.215657,67355.81161,51706.954523,62002.896198
58927.535496000004,59898.026014,52805.270665000004,56275.337123000005
56761.031510999994,41390.599203,56191.013962000005,62287.016714000005
58373.367854,60613.140574,52691.995279,58536.235290000004
59502.004046,57728.385065,54067.927998,56849.15347
46371.363706,63222.93287599999,60260.502214,64650.103622999995
55707.906640999994,56334.538762,58162.911181999996,59676.679541000005
64076.30037700001,57293.184623,55636.380423,54503.226668999996
58573.512754999996,52551.063989,61711.083045,61062.240585
57231.874081999995,52631.62619,52995.189730000006,56466.587564
56925.108221999995,52260.170798,53158.645021000004,53718.318805999996
51852.516,66975.80068,54928.257413,63586.570099000004
87683.97823400001,60996.72945100001,94662.006366,42717.739062
59078.397667,54870.22102700001,59342.32721599999,54646.409542
61135.152118000005,51915.895231,52035.70821,60324.161928
49051.551026,60260.502214,62287.016714000005,71062.686934
64345.773112,58373.367854,50874.390615,49731.123615000004
58162.911181999996,55052.395534999996,52395.97958,50771.201216
35236.473268999995,68685.642748,50524.206689,89102.41810899999
55243.68645,54125.782341,49124.356272,57968.968496
55836.386731,57781.858154,52605.614591,64174.326272
48127.9094,58162.911181999996,65158.898010000004,63710.350605
60996.72945100001,54928.257413,58093.667117,66720.559991
54369.41925399999,52691.995279,57382.474124,57652.911604999994
55322.572283999994,52995.189730000006,57231.874081999995,61824.127465000005
73243.701128,62736.359829999994,62174.013874,57781.858154
36626.066875000004,56427.283918999994,59502.004046,68258.01881200001
55147.867217000006,59772.63280400001,103039.585523,45053.532663000005
53066.14387000001,70556.859895,47262.929603000004,59502.004046
49688.348245,65592.191737,55943.51427,58225.977082
75212.991907,70231.618661,69771.083422,48047.198779
60112.340018999996,61824.127465000005,50611.860419,56334.538762
71831.322271,81119.695247,50771.201216,56427.283918999994
53933.703090999996,53517.820068,49325.270116,60515.89531199999
55414.307536,47932.481404,54870.22102700001,57079.113149000004
51660.1376,44263.699841,59277.403951,70044.200189
45314.181082,58225.977082,59969.877257,75632.81603100001
44088.821201,49429.282788,58927.535496000004,72125.46975
70821.711125,52805.270665000004,84763.534277,51522.939782
70444.641626,64743.949095,42815.583063,46669.09489
64901.080801000004,66398.629939,53786.191590999995,57382.474124
41723.835044,64650.103622999995,56275.337123000005,71700.336434
76962.33763,71700.336434,76302.617386,53273.594084000004
48544.93741,48127.9094,54801.630382,58872.326675
49397.072229,57231.874081999995,53602.289686,67466.579125
54503.226668999996,49237.079579,63129.192555,49865.140021
56530.454235,59012.478779,54027.821291,55636.380423
64174.326272,62090.474077000006,53517.820068,56191.013962000005
81628.471261,54965.534118999996,82708.431959,53602.289686
58804.216275,51522.939782,47963.981082,55414.307536
49013.270047,54369.41925399999,51794.848826999994,64562.168797
54572.866801000004,46928.980255,55243.68645,58373.367854
58288.056283,50439.005991,54736.499623,45346.286138
45193.448459,68124.556169,53338.450515,63811.145258000004
70675.339147,64471.779732,39488.463767,42606.226748
49810.996086,55583.66112799999,51434.744353,51384.503412000005
58039.578535,53860.314971,60112.340018999996,50473.693676
44728.782073,61450.551142,56334.538762,58927.535496000004
45484.927257999996,52035.70821,49429.282788,72649.33731900001
