genome_0min_1,genome_0min_2,genome_60min_1,genome_60min_2
303671.61818,269309.63652999996,287494.02369999996,285996.64021
222993.85627000002,240993.72850000003,252325.4264,274662.90608
226514.88546000002,228508.52398,267916.26054000005,245576.94329
267916.26054000005,248775.32011000003,270291.60531,273491.68123000005
256174.35471,259931.91142000002,247612.74756,235655.6234
232990.46018,252143.22345,266270.28919000004,272071.58924
244191.89016999997,249533.86585999996,242499.51747,231656.29285
258383.25548,264445.00315,254413.78524000003,263074.30416
259931.91142000002,264168.88963,245576.94329,244191.89016999997
354681.31081,327876.58972,231045.97263000003,300472.22881999996
241930.94622999997,239558.22746000002,258383.25548,269561.14350999997
248372.75256,263726.08048,228938.72038,222714.72621
251718.82557000002,259376.39789999998,255609.14964000002,255306.18212
267282.63081999996,255609.14964000002,253650.29704,254665.72892
264168.88963,260385.91319,254019.68928,252143.22345
240993.72850000003,245124.97954000003,269309.63652999996,261535.86978
237643.68706999999,252645.22974,216172.50126999998,220606.84021999998
247872.2997,239745.1542,228508.52398,237299.28346
240440.49102,251718.82557000002,246887.21304,236684.82026
245124.97954000003,244191.89016999997,261112.16704000003,252645.22974
249180.59013,257970.01690000002,241504.26941999997,257970.01690000002
246281.30964000002,257375.45883999998,244191.89016999997,241930.94622999997
242948.18248999998,241504.26941999997,252143.22345,243344.45953000002
241504.26941999997,251003.55494,231656.29285,237987.82563
240125.20286,242499.51747,234225.61157999997,240125.20286
253063.45119,249976.52499,260729.45997000003,254019.68928
246577.72396,247612.74756,240125.20286,228508.52398
238658.42602999997,243744.66394000003,232752.34131,231906.66742
242499.51747,242948.18248999998,255306.18212,258187.7478
261814.61148999998,245921.75284000003,263946.69145,270039.47182
234639.31609,231045.97263000003,243344.45953000002,251003.55494
239745.1542,252325.4264,230484.82188,233806.98409
231906.66742,233806.98409,234639.31609,233425.11959000002
234225.61157999997,230070.41102,248372.75256,241713.02248999997
252143.22345,244377.00671000002,223555.59965,227343.92351000002
270291.60531,248372.75256,257375.45883999998,270291.60531
231045.97263000003,241713.02248999997,222092.49831,222092.49831
243344.45953000002,223906.08661000003,264445.00315,255609.14964000002
255805.14789999998,232752.34131,253063.45119,264445.00315
233806.98409,247872.2997,221890.44288,223555.59965
250679.06782999999,253650.29704,251003.55494,248775.32011000003
227670.65937,225560.10177,242948.18248999998,237643.68706999999
226831.47505,222092.49831,251718.82557000002,242499.51747
223141.2107,231314.23752999998,226514.88546000002,232420.67299000002
241713.02248999997,225224.78171,232420.67299000002,236890.4846
238309.99666,243344.45953000002,237643.68706999999,230737.32237999997
246887.21304,246577.72396,227343.92351000002,219151.78215
229248.92922,250679.06782999999,236684.82026,234225.61157999997
228042.31447,239060.94123,235655.6234,239558.22746000002
229597.31939,234639.31609,239060.94123,231314.23752999998
219480.9603,230737.32237999997,244377.00671000002,243744.66394000003
231314.23752999998,230484.82188,234853.20641,228042.31447
249976.52499,238309.99666,239745.1542,247612.74756
218937.82231999998,213661.33583,237987.82563,232198.22636000003
244377.00671000002,234225.61157999997,238309.99666,227085.24378
233425.11959000002,246887.21304,229826.6284,227670.65937
243744.66394000003,249180.59013,240440.49102,232990.46018
262630.14188,223141.2107,263726.08048,251718.82557000002
221890.44288,244731.49222,235150.57925,229248.92922
231656.29285,233425.11959000002,230070.41102,230070.41102
232420.67299000002,220606.84021999998,243744.66394000003,250381.36283
232198.22636000003,221890.44288,222502.89857000002,240440.49102
269010.47861,240125.20286,249533.86585999996,238309.99666
257140.33052,237299.28346,236246.54356,234853.20641
230484.82188,232420.67299000002,228042.31447,213879.46046000003
236684.82026,221413.28144,245921.75284000003,249533.86585999996
230737.32237999997,228042.31447,236890.4846,221890.44288
248775.32011000003,232198.22636000003,241713.02248999997,242948.18248999998
225736.52233,236684.82026,226831.47505,207535.95951000002
234853.20641,210326.98152,233806.98409,229826.6284
264445.00315,227343.92351000002,255805.14789999998,268476.7154
235655.6234,225736.52233,232198.22636000003,239745.1542
220606.84021999998,236246.54356,225224.78171,217962.58412
227343.92351000002,229597.31939,221725.22156000003,214244.15000999998
219151.78215,228938.72038,221042.65750000003,218220.79199
228508.52398,237987.82563,221413.28144,224629.78928
237299.28346,238658.42602999997,238658.42602999997,249976.52499
214760.54655,222714.72621,210613.96486,206180.49310999998
229826.6284,221725.22156000003,224629.78928,236246.54356
236890.4846,246281.30964000002,219933.78608,214530.71716
237987.82563,223555.59965,231906.66742,226225.02128
219933.78608,218504.26798,227085.24378,231045.97263000003
221413.28144,231906.66742,226225.02128,222502.89857000002
218220.79199,226514.88546000002,203955.73377,208704.71896
223906.08661000003,237643.68706999999,222993.85627000002,210326.98152
215919.47168000002,217563.37851,217563.37851,200139.62576999998
236246.54356,231656.29285,232990.46018,241504.26941999997
213879.46046000003,222502.89857000002,231314.23752999998,239060.94123
213661.33583,210955.72437999997,220606.84021999998,215245.54632999998
208888.25887,229248.92922,215466.00805,207204.85663999998
210059.54526999997,224629.78928,217962.58412,215466.00805
251003.55494,234853.20641,229597.31939,246887.21304
221725.22156000003,232990.46018,215682.42839000002,208278.01149
196189.79885,270039.47182,208888.25887,238658.42602999997
215051.96485000002,235150.57925,215919.47168000002,219933.78608
209205.67926,226225.02128,189757.10033,193607.26054
230070.41102,227085.24378,210955.72437999997,225560.10177
235150.57925,226831.47505,233425.11959000002,244377.00671000002
247612.74756,229826.6284,237299.28346,230484.82188
205524.69321,215682.42839000002,204998.17906,203955.73377
215245.54632999998,213879.46046000003,225736.52233,228938.72038
225224.78171,219933.78608,219151.78215,215682.42839000002
211249.64312,212565.19232,223906.08661000003,219480.9603
218504.26798,209081.15878,229248.92922,234639.31609
216456.61815,240440.49102,201136.16559000002,213661.33583
215682.42839000002,213450.66825000002,222714.72621,215919.47168000002
207204.85663999998,218937.82231999998,215051.96485000002,221042.65750000003
216877.53574999998,212382.03879,218937.82231999998,214760.54655
211506.13166999997,221042.65750000003,210326.98152,207413.98479
211092.83607000002,235655.6234,200623.66542,196073.58894
209843.87100999997,209843.87100999997,211506.13166999997,217563.37851
209400.31026,218661.6175,198397.97391,210059.54526999997
222502.89857000002,197936.89276000002,240993.72850000003,240993.72850000003
211768.76,207915.31505,202230.00724,196910.88059000002
225560.10177,213127.38328999997,205924.66679,212057.67358
203286.02115,214530.71716,198204.53912,203628.36461
218661.6175,215051.96485000002,218661.6175,218937.82231999998
207413.98479,202913.48337,227670.65937,229597.31939
212057.67358,216877.53574999998,213661.33583,211506.13166999997
201742.3454,204998.17906,214902.42654,218661.6175
212382.03879,218220.79199,209400.31026,209081.15878
200812.04428,209581.55241,214530.71716,210955.72437999997
