0min_1,0min_2,0min_3,0min_4,5min_1,5min_2,5min_3
273223.28128,287172.62552999996,297381.19782,275230.56513,246742.20954999997,231664.55351,258313.33925999998
293541.53222000005,294239.97321,266275.37463000003,241163.14829,282902.6376,402367.30893,377343.58788
202736.51126,222863.31063000002,243813.05353,145720.54584,483062.53254000004,483062.53254000004,535462.80536
277645.28986,278235.46196,269845.27521,315252.46232000005,260004.15958000004,278235.46196,325650.02152999997
499362.30339,503527.76271000004,393863.40148,326333.60427,296386.6071,307467.02072000003,219782.70931
272405.36907,290167.83064,284063.6869,312454.04234,317841.5845,322979.10454000003,285822.40068
290167.83064,288080.26034,285822.40068,317841.5845,424201.88505,340205.09268999996,348312.52491000004
341746.9971,341746.9971,322979.10454000003,288825.22168,291739.92963,258842.83240999997,278235.46196
443908.70591,519735.72275,459903.67322000006,455903.64949000004,204329.55349000002,257000.09829000002,225006.89344
298438.51625,288825.22168,293541.53222000005,274127.11963,301876.89411,262489.00899,312454.04234
258842.83240999997,268734.61814000004,288825.22168,285822.40068,311839.78061,308683.54307,287172.62552999996
329176.77113,326333.60427,340205.09268999996,341746.9971,277645.28986,313693.93756,299916.63038
288825.22168,282902.6376,256361.29898000002,294239.97321,293541.53222000005,330741.16701000003,316273.70721
245934.78006000002,246742.20954999997,238362.10336,202352.68602,243015.37319,264337.56865,258842.83240999997
306087.62983,277645.28986,327600.41978,258842.83240999997,416007.45613,406611.73846,499362.30339
278235.46196,291739.92963,298438.51625,293541.53222000005,326333.60427,273223.28128,301876.89411
288080.26034,290881.05078,279628.40295,202736.51126,287172.62552999996,301876.89411,288825.22168
268734.61814000004,270742.87806,274127.11963,248692.29128,255651.17474,288825.22168,279628.40295
261077.91633,251791.17472,247337.73615,233667.64907999997,258313.33925999998,282902.6376,315252.46232000005
287172.62552999996,349375.49331,290881.05078,340205.09268999996,349375.49331,363256.63273,346189.40780000004
243015.37319,248692.29128,262489.00899,210369.42539,284063.6869,267239.34359,321815.9265
245294.29878,258313.33925999998,270742.87806,287172.62552999996,307467.02072000003,296386.6071,280699.39797
252931.02555,243015.37319,255651.17474,265389.83284,295305.65765999997,270742.87806,320462.49462
503527.76271000004,493548.98121999996,509119.8994,491311.15598,184100.28728,165924.3801,182865.02161999998
266275.37463000003,257626.12653,254319.07445000001,271756.46974,298438.51625,294239.97321,269845.27521
340205.09268999996,320462.49462,335199.2635,346189.40780000004,249859.47143,279628.40295,270742.87806
258313.33925999998,263558.11672,241163.14829,254319.07445000001,276601.96288,304562.8832,272405.36907
262489.00899,307467.02072000003,268734.61814000004,269845.27521,404545.98637,432232.95267,352502.59408999997
291739.92963,296386.6071,276601.96288,284063.6869,294239.97321,301036.36196,274127.11963
208319.04963,235873.70197999998,245934.78006000002,280699.39797,254319.07445000001,327600.41978,298438.51625
307467.02072000003,337665.55877999996,301036.36196,337665.55877999996,306087.62983,367080.55371,295305.65765999997
275230.56513,280699.39797,263558.11672,306087.62983,245294.29878,303587.49291000003,297381.19782
271756.46974,260004.15958000004,231010.50619000001,261077.91633,262489.00899,348312.52491000004,336533.89567999996
264337.56865,273223.28128,278235.46196,290881.05078,304562.8832,265389.83284,268734.61814000004
214033.63972,239082.39334,225763.74008999998,168922.04155999998,272405.36907,290167.83064,340205.09268999996
228498.12117,236815.83174,250747.07153,266275.37463000003,279628.40295,290881.05078,302552.25771
247337.73615,256361.29898000002,275230.56513,297381.19782,301036.36196,241163.14829,221440.04885999998
255651.17474,255651.17474,261077.91633,276601.96288,257626.12653,272405.36907,275230.56513
231010.50619000001,231664.55351,232474.40269,229953.36233,261077.91633,258313.33925999998,246742.20954999997
381530.34644,330741.16701000003,344183.61432,278235.46196,274127.11963,245934.78006000002,265389.83284
282902.6376,298438.51625,258842.83240999997,268734.61814000004,250747.07153,293541.53222000005,266275.37463000003
344183.61432,322979.10454000003,339516.551,225006.89344,310294.44661999994,263558.11672,264337.56865
251791.17472,250747.07153,258313.33925999998,243015.37319,425719.2228,295305.65765999997,263558.11672
285822.40068,293541.53222000005,277645.28986,212906.36143,256361.29898000002,269845.27521,250747.07153
236815.83174,220669.29802000002,224609.00229000003,245294.29878,229953.36233,251791.17472,271756.46974
269845.27521,284063.6869,252931.02555,260004.15958000004,235361.63402,233667.64907999997,222373.64944
235361.63402,245934.78006000002,219057.67061,222863.31063000002,229356.24238999997,274127.11963,282902.6376
294239.97321,271756.46974,282902.6376,240143.35404000003,263558.11672,248692.29128,236815.83174
