0min_1,0min_2,5min_1,5min_2
55699.120664999995,58669.4305775,83769.77792,52571.87427
51805.23114,53561.438615,71445.73886499999,73784.733655
66136.4574075,63766.469165,62496.064955,57496.88132
44442.6787575,60862.552572500004,66915.672265,77232.7006725
63543.980735,66294.931545,61473.382475000006,59223.38906
61113.4203225,66781.9426975,58719.5640775,63711.128450000004
50270.9393575,62496.064955,65528.968035,70082.2832
65269.364985,62263.71429,55472.47256,65269.364985
58430.6958825,58056.154895,63303.388202500006,67980.1360725
41243.676585,49666.0734725,78086.7957625,79038.67523
55360.865112499996,64852.7063025,61868.650035,66136.4574075
77816.8738325,78217.98511,42045.484572500005,50725.76823
71590.410565,59871.35021,62333.8029725,54401.274065
66969.260845,61094.996665,65181.548657499996,54150.6817475
68948.5519625,67397.6501675,54192.9361775,57369.3831075
59871.35021,64348.4748825,60045.377455,63188.2891025
66294.931545,62711.3297875,57496.88132,60119.49499
75647.236585,74956.3499,44794.0573625,51099.2648775
64680.907577499995,64019.2669625,57195.4364375,60045.377455
69332.4029475,62142.308445,58873.838195000004,55231.9794225
59562.5154425,65941.308605,56818.3883075,62902.688235
70942.3164675,64680.907577499995,56425.50275,51805.23114
54568.4781775,55472.47256,67223.455465,65941.308605
55602.36748,66702.57667000001,54696.8717775,65528.968035
63330.317689999996,62902.688235,56732.21406,59687.4090475
65721.24605,61531.2729275,59917.285275,55088.4147225
58333.74348,61113.4203225,60503.929027499995,61473.382475000006
61531.2729275,63412.2907425,57225.8626925,59097.0354075
60952.895945,63113.792037499996,55088.4147225,61531.2729275
70528.00087,63905.8904825,53255.072205000004,53344.683145
69229.546775,65357.1713775,48910.4164975,57679.70339
74279.56482,74625.0736125,45468.58353,47266.7723175
57422.56779,64575.388585,59871.35021,58056.154895
62902.688235,60586.554775,57369.3831075,59391.4001275
65941.308605,67980.1360725,49300.0589225,56311.119772499995
68748.1232125,65654.5362425,56365.1792525,49384.266684999995
60670.0274375,61193.8134075,69479.492445,46659.0323275
62496.064955,57422.56779,57679.70339,62758.706325
63412.2907425,60766.06559,57285.332267499994,56908.67059
64348.4748825,64179.037185,51732.527645,57225.8626925
67980.1360725,64486.7791225,49763.3837225,56134.9526375
54631.19094,63543.980735,56845.67679,61868.650035
61094.996665,63711.128450000004,53434.74631,57986.40637
62398.169565000004,56845.67679,55360.865112499996,63032.662274999995
58929.213015,72525.1316025,44463.8410575,60565.034335
61473.382475000006,65528.968035,55913.5880675,52807.834507499996
53764.814660000004,43189.248455,61094.996665,77108.98104
65357.1713775,62641.59907,53058.998675,54053.5404975
34868.519755,44366.8667525,73593.847585,80890.43587
70721.90161,58430.6958825,50725.76823,54568.4781775
58128.7659475,57861.440505000006,55602.36748,62263.71429
62555.8102075,53344.683145,70721.90161,48316.1606
58056.154895,66498.713915,47807.792725,59917.285275
47755.9777925,54053.5404975,63330.317689999996,67223.455465
60119.49499,59986.1465375,54914.64482,56150.918125
66781.9426975,77232.7006725,42032.6948775,45825.992075
61193.8134075,60670.0274375,54053.5404975,54254.2771325
62042.640427499995,56474.471565,56150.918125,56541.9862775
65777.3892,71230.119095,47451.9827725,45695.2627025
70775.257175,73726.97953,41341.5584925,44474.7220175
56908.67059,59917.285275,66136.4574075,45937.5858075
62784.7185325,60216.6318225,52213.6712825,53711.248845
63032.662274999995,54493.9410075,57628.8301525,53895.420585
68510.4023775,65750.598765,45720.3778975,48165.937505
52044.05799,67798.50822250001,45065.63787,62555.8102075
57628.8301525,58593.928835,54631.19094,55524.055440000004
58768.08158,57628.8301525,53344.683145,56659.446169999996
56134.9526375,57026.9358575,60386.929814999996,52119.8058375
57861.440505000006,59298.661795,54353.764605,53058.998675
37294.3051825,40393.438085,66498.713915,79871.92280500001
46810.2560875,53096.6119075,74076.3345125,50832.373009999996
56732.21406,60503.929027499995,52519.3058075,53764.814660000004
38501.068305,41480.1494125,74625.0736125,68748.1232125
54493.9410075,56248.952015,51261.97995,61720.31189
63766.469165,61686.149065,47343.35084,50798.2556225
65750.598765,62784.7185325,42915.5019225,51732.527645
38816.2912675,36089.6742775,75812.34425,71838.7054825
71770.2684175,63303.388202500006,44572.265025,43606.3398075
31340.986344999998,39268.223115,73483.6316625,77816.8738325
