0min_1,0min_2,0min_3,0min_4,60min_1,60min_2,60min_3
2829272.856,2777163.8464,2702646.9483,2431999.5954,2886088.5199,2855296.5857,3053748.5589
2899981.2660999997,2963623.6354,2840823.0033,2759010.1283,2781571.4052999998,2692981.1321,2431999.5954
3154323.5845,3111586.4593,3038400.271,3026228.4359999998,2523580.1783,2451460.8082000003,2171878.7754
2781571.4052999998,2768399.3535,2906327.9732999997,2936392.5641,2669820.3561,2759010.1283,2996578.7517
2847181.2275,2906327.9732999997,2921380.8816,2747770.5919,2617598.7883,2819486.2566,3005617.1436
2633958.4216,2617598.7883,2581495.1698,2886088.5199,2955040.3233,2921380.8816,3133412.3935
2768399.3535,2736065.9729,2819486.2566,2581495.1698,2864498.0519000003,2899981.2660999997,2840823.0033
2759010.1283,2811211.8641,2788115.0266,2979452.4329,2736065.9729,2645828.7674000002,2669820.3561
3241692.177,2921380.8816,2914511.8901,2245272.3858,2722887.7682,2523580.1783,2077047.6619
3133412.3935,3005617.1436,2829272.856,2847181.2275,2463919.1357,2482137.823,1886059.3059999999
2516457.6555999997,2567780.1585999997,2653678.1188000003,2811211.8641,2811211.8641,2996578.7517,2955040.3233
2886088.5199,2800047.3267,2692981.1321,2781571.4052999998,2633958.4216,2556983.8857,2516457.6555999997
2253221.0625,2276162.2372000003,2414394.3945,2722887.7682,3133412.3935,3111586.4593,3430210.7310999995
2581495.1698,2596829.9203000003,2669820.3561,2855296.5857,2711697.0049,2829272.856,2722887.7682
2669820.3561,2722887.7682,2606896.5645,2800047.3267,2596829.9203000003,2669820.3561,2759010.1283
2936392.5641,2936392.5641,2886088.5199,2392014.5164,2494015.5248,2596829.9203000003,2680803.718
2736065.9729,3133412.3935,2444405.8613,2829272.856,2404981.6593000004,2505565.3628,2313489.9877
2617598.7883,2556983.8857,2633958.4216,2711697.0049,2759010.1283,2653678.1188000003,2692981.1321
2811211.8641,2711697.0049,2800047.3267,2899981.2660999997,2556983.8857,2463919.1357,2349552.5009
2534281.0042999997,2505565.3628,2534281.0042999997,1919662.9531,2921380.8816,2936392.5641,3241692.177
2336732.1961999997,2375522.7367,2320060.7313,2070895.3888,3122650.2585,3079934.8774,3534439.8504
2840823.0033,2819486.2566,2781571.4052999998,2906327.9732999997,2357734.8534000004,2357734.8534000004,2139299.7449000003
2343302.1785,2424901.0349,2431999.5954,2596829.9203000003,2800047.3267,2886088.5199,3319085.3252
2276162.2372000003,2392014.5164,2357734.8534000004,2567780.1585999997,2788115.0266,2840823.0033,3102505.5927999998
3026228.4359999998,2855296.5857,2847181.2275,2768399.3535,2336732.1961999997,2130729.6173,1836039.9711
2543695.4981,2431999.5954,2736065.9729,2864498.0519000003,2386185.1946,2404981.6593000004,2220741.7260000003
2286620.8943,2414394.3945,2424901.0349,2534281.0042999997,2768399.3535,2702646.9483,2873622.9395
2800047.3267,2702646.9483,2645828.7674000002,2516457.6555999997,2266899.3393,2292706.1824000003,2260648.208
2921380.8816,2747770.5919,2811211.8641,1923445.6265,2414394.3945,2444405.8613,2032615.5752
2227968.4676,2357734.8534000004,2392014.5164,2702646.9483,2653678.1188000003,2722887.7682,2788115.0266
2214594.6418,2292706.1824000003,2302890.6239,2193369.3405999998,2702646.9483,2747770.5919,3180574.9432
2692981.1321,2633958.4216,2617598.7883,2680803.718,2343302.1785,2276162.2372000003,2052043.8037999999
2357734.8534000004,2329658.1069,2343302.1785,2494015.5248,2606896.5645,2581495.1698,2736065.9729
2482137.823,2482137.823,2494015.5248,2260648.208,2482137.823,2424901.0349,2494015.5248
2424901.0349,2463919.1357,2543695.4981,2556983.8857,2424901.0349,2363343.2944,2286620.8943
2523580.1783,2313489.9877,2567780.1585999997,2840823.0033,2363343.2944,2349552.5009,2070895.3888
2505565.3628,2475177.5476,2451460.8082000003,2921380.8816,2375522.7367,2253221.0625,1950748.9864999999
2414394.3945,2444405.8613,2516457.6555999997,2505565.3628,2451460.8082000003,2494015.5248,2475177.5476
2386185.1946,2386185.1946,2386185.1946,2404981.6593000004,2581495.1698,2543695.4981,2451460.8082000003
2596829.9203000003,2645828.7674000002,2596829.9203000003,1948063.1294,2329658.1069,2375522.7367,2363343.2944
2463919.1357,2523580.1783,2505565.3628,2606896.5645,2292706.1824000003,2266899.3393,2019680.3495
2788115.0266,2781571.4052999998,2711697.0049,2227968.4676,2096999.6357999998,2096999.6357999998,1764276.4023000002
2645828.7674000002,2669820.3561,2680803.718,2645828.7674000002,2005691.1472,2208621.6533999997,1903856.1254
2161472.8726999997,2320060.7313,2286620.8943,2475177.5476,2534281.0042999997,2392014.5164,2534281.0042999997
2567780.1585999997,2534281.0042999997,2475177.5476,2463919.1357,2102786.8937,2139299.7449000003,2024265.5365
2260648.208,2185806.3928,2185806.3928,2414394.3945,2543695.4981,2431999.5954,2711697.0049
