wt_0min_1,wt_0min_2,wt_60min_1,wt_60min_2
51296.750237,51696.305905,36738.358804,45094.386243
59856.342927,53792.293711000006,42191.197944,48290.937144
35149.331394,39813.1793,54352.61683199999,46113.566341
57387.002044,56886.432407,51199.592891,51908.602551
65842.31336,56810.79809899999,53524.117429,48898.255847
57668.998823999995,62829.534754,54264.10756399999,52582.632452000005
58595.15910999999,61288.761612,47595.008746,50078.580876
51121.528959,52463.708287,55373.403954,49948.819012
50724.70633,44282.125997,52463.708287,59741.16111
38815.512646,40186.75138,57895.396788,61177.316591999996
40550.546997000005,45924.961323,47456.798706,60073.749127999996
41024.914524,57480.59465299999,39721.834416,40287.802620999995
25927.398888,38145.536315,39651.07309599999,51876.995275
49229.979452,52835.215511,53597.160776000004,45710.732208
26701.983446,31967.846754,59797.947065,45744.05459
60761.013918,59592.355061,48002.221663,48162.032432
34534.155846,39392.389944,58957.05033400001,64401.337438
55713.217140999994,49190.517556,48581.020727999996,55759.660644
88737.212223,88737.212223,49034.454725,37004.987199
60905.373074,58048.774836,50600.091503,43575.903784999995
63258.548604999996,60464.35447400001,51653.580957,47825.545524
58911.215889,57537.148703,48337.179858,43976.130301000005
65019.69950100001,69013.729145,50429.966673,46517.066923
22581.837161,28317.562848999998,70888.618534,61096.17914
27232.882921,23143.416527,51040.840929,69762.168313
57778.62744,57242.187731,58048.774836,44307.028024
57303.565231,56574.471708,55080.105657,60199.934998000004
55420.404984,59741.16111,46083.024508,53059.06217800001
