wt_60min_1,wt_60min_2,genome_60min_1,genome_60min_2
273906.81974,259931.91142000002,261535.86978,255805.14789999998
283620.35635,262035.50884000002,250381.36283,248372.75256
285652.46579,255609.14964000002,270039.47182,258383.25548
254665.72892,262630.14188,282343.69964999997,283620.35635
275843.11289,269309.63652999996,275843.11289,264168.88963
265844.52971000003,254665.72892,277662.10829,267612.77581
260729.45997000003,268476.7154,257970.01690000002,260729.45997000003
272071.58924,267612.77581,241930.94622999997,252325.4264
279412.80479,250679.06782999999,266954.11211,259740.10998
207413.98479,282343.69964999997,298713.91053,318692.66304
277073.83901,254413.78524000003,254665.72892,266629.0841
276598.75899,254019.68928,252645.22974,257375.45883999998
266270.28919000004,265089.42478999996,269010.47861,262035.50884000002
301757.7751,257375.45883999998,262385.36705,259931.91142000002
259931.91142000002,257970.01690000002,259740.10998,245921.75284000003
232420.67299000002,278424.59368,284879.05770999996,289288.65099
270777.48887999996,259740.10998,262035.50884000002,256583.07781000002
282061.57918,263074.30416,276598.75899,278830.48636
262035.50884000002,251718.82557000002,264168.88963,265844.52971000003
289288.65099,249533.86585999996,246281.30964000002,249180.59013
241713.02248999997,269561.14350999997,268476.7154,265089.42478999996
267282.63081999996,258921.15297999996,248775.32011000003,254413.78524000003
273491.68123000005,259376.39789999998,249180.59013,267916.26054000005
269561.14350999997,246281.30964000002,245124.97954000003,246577.72396
268476.7154,263726.08048,270777.48887999996,271144.04024
270039.47182,252143.22345,256174.35471,261112.16704000003
244731.49222,257140.33052,274319.40815000003,272806.49479
278830.48636,263946.69145,244731.49222,247872.2997
282665.07439,242948.18248999998,246577.72396,253063.45119
281157.26459,246577.72396,263074.30416,267282.63081999996
255609.14964000002,240125.20286,280187.99893,269010.47861
259376.39789999998,261112.16704000003,266629.0841,262385.36705
252143.22345,251003.55494,247872.2997,245124.97954000003
235655.6234,270039.47182,260385.91319,257140.33052
272806.49479,265844.52971000003,250679.06782999999,253650.29704
208888.25887,283620.35635,287494.02369999996,285996.64021
279877.41603,264168.88963,252325.4264,274662.90608
272449.27612,266270.28919000004,267916.26054000005,245576.94329
230070.41102,283118.01755,270291.60531,273491.68123000005
263074.30416,236890.4846,247612.74756,235655.6234
263946.69145,250381.36283,266270.28919000004,272071.58924
258187.7478,245576.94329,242499.51747,231656.29285
265089.42478999996,255805.14789999998,254413.78524000003,263074.30416
240125.20286,256174.35471,245576.94329,244191.89016999997
186670.46606,305336.3577,231045.97263000003,300472.22881999996
254019.68928,249180.59013,258383.25548,269561.14350999997
285221.90699,240440.49102,228938.72038,222714.72621
257970.01690000002,249976.52499,255609.14964000002,255306.18212
224629.78928,266629.0841,253650.29704,254665.72892
277662.10829,253650.29704,254019.68928,252143.22345
274662.90608,253063.45119,269309.63652999996,261535.86978
265460.49174,239745.1542,216172.50126999998,220606.84021999998
239060.94123,255306.18212,228508.52398,237299.28346
267612.77581,236684.82026,246887.21304,236684.82026
276350.01414,248775.32011000003,261112.16704000003,252645.22974
264445.00315,239060.94123,241504.26941999997,257970.01690000002
253650.29704,246887.21304,244191.89016999997,241930.94622999997
258921.15297999996,247612.74756,252143.22345,243344.45953000002
253063.45119,248372.75256,231656.29285,237987.82563
257375.45883999998,245921.75284000003,234225.61157999997,240125.20286
270291.60531,252645.22974,260729.45997000003,254019.68928
238658.42602999997,241930.94622999997,240125.20286,228508.52398
239745.1542,243344.45953000002,232752.34131,231906.66742
219933.78608,245124.97954000003,255306.18212,258187.7478
195750.20517,315734.47341,263946.69145,270039.47182
255805.14789999998,238658.42602999997,243344.45953000002,251003.55494
256174.35471,229248.92922,230484.82188,233806.98409
246281.30964000002,231314.23752999998,234639.31609,233425.11959000002
262385.36705,231656.29285,248372.75256,241713.02248999997
266629.0841,234639.31609,223555.59965,227343.92351000002
178365.09373,264445.00315,257375.45883999998,270291.60531
249533.86585999996,235150.57925,222092.49831,222092.49831
213127.38328999997,261535.86978,264445.00315,255609.14964000002
215051.96485000002,252325.4264,253063.45119,264445.00315
232198.22636000003,238309.99666,221890.44288,223555.59965
249180.59013,244191.89016999997,251003.55494,248775.32011000003
247872.2997,237643.68706999999,242948.18248999998,237643.68706999999
259740.10998,244731.49222,251718.82557000002,242499.51747
248775.32011000003,225736.52233,226514.88546000002,232420.67299000002
218220.79199,237987.82563,232420.67299000002,236890.4846
250679.06782999999,232990.46018,237643.68706999999,230737.32237999997
249976.52499,230070.41102,227343.92351000002,219151.78215
245921.75284000003,228508.52398,236684.82026,234225.61157999997
251718.82557000002,221042.65750000003,235655.6234,239558.22746000002
254413.78524000003,225224.78171,239060.94123,231314.23752999998
240440.49102,240993.72850000003,244377.00671000002,243744.66394000003
243744.66394000003,223555.59965,234853.20641,228042.31447
211506.13166999997,256583.07781000002,239745.1542,247612.74756
256583.07781000002,214244.15000999998,237987.82563,232198.22636000003
234639.31609,231906.66742,238309.99666,227085.24378
237643.68706999999,228938.72038,229826.6284,227670.65937
225736.52233,234225.61157999997,240440.49102,232990.46018
196189.79885,247872.2997,263726.08048,251718.82557000002
271144.04024,231045.97263000003,235150.57925,229248.92922
239558.22746000002,236246.54356,230070.41102,230070.41102
235150.57925,241713.02248999997,243744.66394000003,250381.36283
237987.82563,267282.63081999996,222502.89857000002,240440.49102
177709.44464,243744.66394000003,249533.86585999996,238309.99666
228042.31447,239558.22746000002,236246.54356,234853.20641
250381.36283,215682.42839000002,228042.31447,213879.46046000003
209081.15878,232752.34131,245921.75284000003,249533.86585999996
245576.94329,217962.58412,236890.4846,221890.44288
202913.48337,235655.6234,241713.02248999997,242948.18248999998
243344.45953000002,227343.92351000002,226831.47505,207535.95951000002
209205.67926,229597.31939,233806.98409,229826.6284
168245.2163,242499.51747,255805.14789999998,268476.7154
236890.4846,234853.20641,232198.22636000003,239745.1542
229248.92922,226225.02128,225224.78171,217962.58412
229597.31939,219480.9603,221725.22156000003,214244.15000999998
232752.34131,233425.11959000002,221042.65750000003,218220.79199
209843.87100999997,227085.24378,221413.28144,224629.78928
214244.15000999998,260729.45997000003,238658.42602999997,249976.52499
228938.72038,217074.88703,210613.96486,206180.49310999998
202084.99201,230484.82188,224629.78928,236246.54356
245124.97954000003,213127.38328999997,219933.78608,214530.71716
236246.54356,229826.6284,231906.66742,226225.02128
231314.23752999998,226514.88546000002,227085.24378,231045.97263000003
225224.78171,214760.54655,226225.02128,222502.89857000002
230737.32237999997,222714.72621,203955.73377,208704.71896
227085.24378,218937.82231999998,222993.85627000002,210326.98152
241930.94622999997,215051.96485000002,217563.37851,200139.62576999998
211249.64312,232198.22636000003,232990.46018,241504.26941999997
230484.82188,225560.10177,231314.23752999998,239060.94123
242499.51747,227670.65937,220606.84021999998,215245.54632999998
261814.61148999998,207535.95951000002,215466.00805,207204.85663999998
231656.29285,213879.46046000003,217962.58412,215466.00805
219151.78215,219933.78608,229597.31939,246887.21304
222714.72621,210955.72437999997,215682.42839000002,208278.01149
221890.44288,232420.67299000002,208888.25887,238658.42602999997
217563.37851,224629.78928,215919.47168000002,219933.78608
212883.02144999997,220606.84021999998,189757.10033,193607.26054
210326.98152,226831.47505,210955.72437999997,225560.10177
189154.63892,237299.28346,233425.11959000002,244377.00671000002
213450.66825000002,222993.85627000002,237299.28346,230484.82188
231045.97263000003,208278.01149,204998.17906,203955.73377
222993.85627000002,219151.78215,225736.52233,228938.72038
227343.92351000002,208888.25887,219151.78215,215682.42839000002
225560.10177,214902.42654,223906.08661000003,219480.9603
201136.16559000002,241504.26941999997,229248.92922,234639.31609
222092.49831,221725.22156000003,201136.16559000002,213661.33583
227670.65937,216456.61815,222714.72621,215919.47168000002
229826.6284,207204.85663999998,215051.96485000002,221042.65750000003
248372.75256,222502.89857000002,218937.82231999998,214760.54655
218504.26798,212883.02144999997,210326.98152,207413.98479
217074.88703,206876.64945,200623.66542,196073.58894
226514.88546000002,211092.83607000002,211506.13166999997,217563.37851
215919.47168000002,212565.19232,198397.97391,210059.54526999997
197936.89276000002,215466.00805,240993.72850000003,240993.72850000003
217962.58412,213450.66825000002,202230.00724,196910.88059000002
206380.05623,204598.97437,205924.66679,212057.67358
216172.50126999998,207915.31505,198204.53912,203628.36461
234853.20641,217563.37851,218661.6175,218937.82231999998
226831.47505,211249.64312,227670.65937,229597.31939
214902.42654,202705.30320999998,213661.33583,211506.13166999997
219480.9603,212382.03879,214902.42654,218661.6175
212057.67358,211506.13166999997,209400.31026,209081.15878
221725.22156000003,216172.50126999998,214530.71716,210955.72437999997
177289.89206,233806.98409,214760.54655,225736.52233
