env_0min_1,env_0min_2,env_5min_1,env_5min_2
273539.12904,250498.31390999997,255465.27114,247771.76376
267161.33488,248959.03818,264172.42075,252872.16135999997
262652.0114,238322.33772999997,253310.08893,256301.03112
244649.87636000002,254353.56743,263507.99580000003,267972.69463
265979.35574,246947.54046999998,249602.57934,254353.56743
260485.02115000002,247514.43962,266452.45169,246378.26287000004
254156.83990000002,241074.51896000002,247982.28731999997,256760.32344999997
285157.65331,271106.53058,240452.87111,240281.78264000002
235652.244,265979.35574,256760.32344999997,257595.45408
215210.40498000002,267491.81519,269039.71752,266452.45169
263816.08213,254577.09446,260822.80688999998,251108.89502
301721.32873999997,277050.43367,510908.80197000003,238644.42009
272748.50615,229678.76567000002,250498.31390999997,258334.39093
264646.76116999995,250829.79366999998,262652.0114,247982.28731999997
294650.54581,267161.33488,247514.43962,235019.19370999996
261279.27168,258932.75269999998,244649.87636000002,242319.9935
271106.53058,240281.78264000002,249852.86562,246947.54046999998
250829.79366999998,262016.18462,259581.18849,248747.38903000002
271636.00081,262317.06329,264646.76116999995,254156.83990000002
247982.28731999997,292290.92457,238644.42009,249350.19792
267972.69463,247771.76376,231155.87683000002,241472.52344
264172.42075,244024.07405,243028.36669999998,238322.33772999997
253822.85227,246378.26287000004,246947.54046999998,247514.43962
245996.51776000002,244649.87636000002,245996.51776000002,251581.48232
228147.58994,268584.30532,254577.09446,268584.30532
255797.93118,254156.83990000002,261279.27168,264646.76116999995
236573.72868,260068.14805000002,254851.05052,269039.71752
242319.9935,241472.52344,242678.56663000002,254851.05052
219178.11592,263816.08213,273539.12904,285157.65331
263507.99580000003,273153.63637,234752.95583000002,245996.51776000002
247514.43962,255969.39451,233441.34465,240860.13551
233122.31644999998,252872.16135999997,251954.168,260485.02115000002
254353.56743,248747.38903000002,241757.76389,248385.17268
259581.18849,245793.92376,235019.19370999996,250829.79366999998
251108.89502,239158.09608999998,235271.03695,233441.34465
255180.33763999998,238135.02106,239985.78402999998,236934.5912
239158.09608999998,243028.36669999998,258932.75269999998,259581.18849
254577.09446,266452.45169,244024.07405,237297.31872
245202.1462,253822.85227,238135.02106,253822.85227
251581.48232,238644.42009,252416.79252,244944.58232
256760.32344999997,249350.19792,230043.52500999998,245202.1462
242678.56663000002,241757.76389,249350.19792,252416.79252
257595.45408,231963.60429,230930.25810000004,240452.87111
252416.79252,256760.32344999997,242319.9935,234752.95583000002
217416.31708,257132.13556,251108.89502,255969.39451
263166.39168,237297.31872,233642.67533,244024.07405
260822.80688999998,249602.57934,234073.84715,231963.60429
218899.42531,262652.0114,255969.39451,253310.08893
255969.39451,236262.47195,238805.88333,234313.89363
246378.26287000004,239577.95399,241472.52344,235271.03695
262317.06329,249852.86562,239158.09608999998,230558.69976
240281.78264000002,258334.39093,282307.04094,242678.56663000002
199405.88454,233122.31644999998,251581.48232,257132.13556
220564.58242000002,260822.80688999998,265979.35574,260068.14805000002
249350.19792,237771.57916999998,230558.69976,239158.09608999998
249852.86562,239985.78402999998,232287.57843,235961.48781
202755.0086,377733.27087,332921.08924,284716.07845000003
228824.28083,213780.83564,237297.31872,248959.03818
246947.54046999998,234752.95583000002,238322.33772999997,236573.72868
209461.16779,253310.08893,245202.1462,255180.33763999998
249602.57934,228824.28083,240281.78264000002,243028.36669999998
255465.27114,229282.82635,255180.33763999998,249852.86562
234073.84715,230558.69976,248747.38903000002,235652.244
218260.35126999998,251581.48232,239577.95399,251954.168
241472.52344,244324.19575,232190.57324,232287.57843
233441.34465,231431.90508,229282.82635,233122.31644999998
244944.58232,240452.87111,217660.17560000002,228147.58994
238644.42009,238805.88333,244944.58232,236262.47195
251954.168,235652.244,236934.5912,245793.92376
248959.03818,236573.72868,236262.47195,239985.78402999998
231431.90508,219633.15021000002,232747.4315,238805.88333
258334.39093,257595.45408,235652.244,210543.51382
213163.73615,230290.41864,257971.27557,244649.87636000002
244324.19575,235019.19370999996,240860.13551,239577.95399
230719.80112999998,214137.24151,229036.22590999998,238135.02106
274400.75812,251954.168,241074.51896000002,229036.22590999998
239577.95399,222670.20726999998,223315.53486,226848.50247999997
240452.87111,235271.03695,223916.24665000002,228469.68698
235019.19370999996,221561.81435000003,236573.72868,230043.52500999998
237771.57916999998,226519.75934000002,224332.21274000002,224332.21274000002
245793.92376,225864.06017,227737.21876000002,231637.19988000003
238805.88333,210064.82458000001,230290.41864,241074.51896000002
219633.15021000002,209577.55453,228147.58994,237771.57916999998
230930.25810000004,222864.96472,221990.39166000002,234073.84715
229282.82635,233441.34465,220564.58242000002,231431.90508
