wt_0min_1,wt_0min_2,wt_5min_1,wt_5min_2
235961.48781,227737.21876000002,210317.02853,210317.02853
215608.10035999998,198156.03943,209214.35992000002,221266.09622999997
239158.09608999998,234073.84715,200571.97202,211917.58037
221266.09622999997,218548.97677,213904.10523000002,251954.168
215495.66406,220067.28580999997,212117.14446,243028.36669999998
229036.22590999998,228824.28083,217960.63942999998,206629.44761
234313.89363,217660.17560000002,212663.55302,207190.22708
205692.39068999997,204599.48778999998,214696.46740000002,217660.17560000002
232747.4315,226277.97219000003,206241.62437,200088.11287
219464.46622,219464.46622,210543.51382,224332.21274000002
218548.97677,212117.14446,225864.06017,202755.0086
213780.83564,213438.24202,223916.24665000002,227737.21876000002
217960.63942999998,215988.20043000003,206004.32319,218899.42531
218899.42531,236262.47195,207762.15363000002,217034.87689
232190.57324,224598.05743,209577.55453,204081.28048000002
219796.01377,237297.31872,201294.82838999998,214696.46740000002
186741.30815,196664.49646,218548.97677,232747.4315
214892.98174999998,206440.11359000002,211917.58037,207762.15363000002
175371.44350999998,189243.27671,222670.20726999998,226519.75934000002
158639.45506,152712.191,254353.56743,175644.10566
194301.48885,214696.46740000002,215988.20043000003,211187.73273999998
185484.48377,205142.30192,206440.11359000002,221561.81435000003
199405.88454,197610.11853,212442.53394,200743.66565
203733.79038,212663.55302,215495.66406,215608.10035999998
209461.16779,216660.43436,205692.39068999997,242319.9935
217416.31708,208591.36325,206629.44761,214465.01743
47187.383350000004,49289.003871,282307.04094,300194.62751
179240.64027,181856.32812000002,220381.40167,206440.11359000002
205417.83026999998,196493.34707,208591.36325,209883.17792
217034.87689,219796.01377,199714.20496,203372.62759
204599.48778999998,217034.87689,200315.89208,224598.05743
196275.69113,203372.62759,236934.5912,173157.39293
210317.02853,222670.20726999998,203372.62759,212663.55302
207762.15363000002,211703.18532,188976.63432,217960.63942999998
194776.61534,193496.52371,214892.98174999998,198548.26955
206241.62437,211917.58037,202523.56553,203733.79038
207536.58130000002,214137.24151,198774.12937,213904.10523000002
220564.58242000002,214892.98174999998,202755.0086,204305.93862
208287.13314,215608.10035999998,219178.11592,172248.54128
212442.53394,202928.55294000002,200088.11287,206004.32319
209214.35992000002,203733.79038,207059.50383,203144.45711000002
