genome_0min_1,genome_0min_2,genome_60min_1,genome_60min_2
70157.306683,79422.120577,69565.546294,70539.525585
73175.13454700001,95609.739934,59184.784984000005,67894.830195
76740.116839,63968.781202,84813.34446000001,91793.168892
62909.663648999995,59900.34976,67399.322916,79735.53931
66422.56624300001,66188.857155,70282.782148,69271.354217
38739.157396,36570.678113,91136.41558100001,79422.120577
83320.50371599999,86184.001119,55327.04188399999,62962.111713000006
86713.173525,67894.830195,85540.738849,89314.046782
105904.458987,115719.52707,39553.520743,43575.903784999995
59797.947065,65242.539336,65706.91266399999,64696.100255
49505.831312,48435.246628,91311.790718,84396.15779699999
81346.314561,66585.566366,79245.21096299999,80846.077615
81608.367061,79735.53931,77179.430065,76899.005041
58300.130347000006,63258.548604999996,58763.046475,55420.404984
67174.91751,72256.59583,70040.28707699999,67399.322916
58856.225031,58048.774836,50198.900795,55713.217140999994
57432.180712,60990.37338799999,68186.614621,71290.01655999999
67980.818374,77867.155896,59354.43157,58557.900438000004
41883.533158,37518.105833,88737.212223,88986.688758
48488.875695,41024.914524,91793.168892,89705.34744700001
55858.650207000006,54147.54204300001,73620.34497,73454.330017
69483.765459,70282.782148,64480.253247,60835.863312999994
57354.587654999996,54743.965804,73454.330017,69762.168313
65982.793693,71722.841426,60016.76453,60990.37338799999
70394.201959,69483.765459,64401.337438,58137.115197
61032.508388,57387.002044,62962.111713000006,58595.15910999999
61593.80959600001,57668.998823999995,58856.225031,57955.923096
60761.013918,62909.663648999995,78929.759441,73327.47124000001
59382.964959000004,81346.314561,48811.794293,70739.159726
59354.43157,60691.062717999994,50078.580876,46671.851378
71051.332711,84813.34446000001,49549.739760000004,49425.523881999994
64725.846879,68430.541751,69271.354217,69013.729145
66333.110123,72905.785876,63061.071094,62092.853864000004
56886.432407,53659.854585999994,75578.865816,75578.865816
68186.614621,76368.940225,65459.194795,59278.850763999995
82871.026606,79936.69424800001,76601.868722,74427.50025299999
53597.160776000004,54807.235433,70394.201959,63452.496595
52327.504834,59354.43157,58595.15910999999,52691.868074
68331.31269,66333.110123,64696.100255,65911.332445
47527.510093000004,40978.395997,80152.46177600001,86951.65896900001
65706.91266399999,71290.01655999999,61807.807609999996,62398.587655
56574.471708,60199.934998000004,44995.922783,47222.686096000005
77989.71012,76193.12167200001,70539.525585,66422.56624300001
54184.111781,53792.293711000006,68430.541751,60016.76453
59741.16111,61288.761612,72256.59583,67174.91751
63968.781202,65140.071057,64111.320319000006,59382.964959000004
49034.454725,44307.028024,95609.739934,91311.790718
75244.246181,78682.626347,64223.401398,59354.43157
63061.071094,65706.91266399999,62092.853864000004,65459.194795
58957.05033400001,51762.503406,78682.626347,65561.613183
79245.21096299999,88086.894243,47860.592533,50017.845408
67296.22409599999,70394.201959,56886.432407,55273.544067
64480.253247,56574.471708,71290.01655999999,73896.40065200001
54067.766918999994,64401.337438,65842.31336,70157.306683
58595.15910999999,64223.401398,62290.61759200001,54954.004352
61096.17914,59184.784984000005,70739.159726,65359.94459499999
68674.485913,57835.212109,58911.215889,64037.027173
57387.002044,54460.767374999996,60357.533028,60512.218695999996
70888.618534,78270.07479700001,60761.013918,61032.508388
64321.603586000005,75794.336751,58258.689969,58957.05033400001
52513.804839000004,57432.180712,64918.110198,65019.69950100001
54393.83584500001,63061.071094,65242.539336,64480.253247
62290.61759200001,73454.330017,61228.23956,61288.761612
73620.34497,87126.255008,43174.352836,57303.565231
109746.16457,72143.79165,58048.774836,62160.817016999994
60016.76453,71527.698697,57480.59465299999,58428.113057
61889.512973000004,63888.74109,60905.373074,54665.504313
92410.213936,76740.116839,59900.34976,66333.110123
63712.139567,61889.512973000004,63712.139567,52835.215511
58488.738433000006,58227.488301,65911.332445,64111.320319000006
60266.085716999994,67174.91751,63647.421160000005,63258.548604999996
46300.436654000005,43532.150165,71852.23582,73742.127165
51079.159427,64037.027173,61945.40904099999,59027.013233000005
61288.761612,60761.013918,52285.827742,61483.303266999996
47966.150693,51374.056407,42153.772688,45433.520552
47673.30671600001,51512.983033,68090.31936,73071.350822
58428.113057,52197.076827,81346.314561,72374.02643900001
59184.784984000005,62489.089038,67751.468393,60464.35447400001
60199.934998000004,63647.421160000005,58957.05033400001,59462.178408
61228.23956,72565.447324,51876.995275,58828.493259999996
52626.563266,58137.115197,54067.766918999994,50322.103743
53131.766810999994,58595.15910999999,60691.062717999994,52492.507664
57835.212109,59658.449988,60990.37338799999,60575.93788299999
100712.834176,66253.847755,56407.402390999996,67031.252348
38568.213922,39651.07309599999,52407.262650000004,54205.14953899999
63167.936939,64696.100255,62684.299398,57354.587654999996
45618.580884,44145.642719999996,73896.40065200001,70888.618534
57537.148703,66769.270242,54743.965804,55136.61217200001
51876.995275,55858.650207000006,72905.785876,69483.765459
65842.31336,64592.835638000004,61032.508388,62909.663648999995
65459.194795,64546.91658,58557.900438000004,63785.814743
72005.241605,68090.31936,62745.646560999994,61177.316591999996
69762.168313,73896.40065200001,49603.919685,53524.117429
60575.93788299999,62398.587655,52759.30656,50120.416429
55190.199872000005,58300.130347000006,56127.498265999995,54352.61683199999
46422.002779,48898.255847,68674.485913,64546.91658
65019.69950100001,65359.94459499999,60134.245048,55373.403954
78270.07479700001,68186.614621,61405.818236,61405.818236
66585.566366,69565.546294,61177.316591999996,66188.857155
47100.818345,57303.565231,55563.299289999995,52327.504834
46671.851378,46927.162498000005,68331.31269,72256.59583
50600.091503,50247.748829000004,75078.465746,63167.936939
57668.998823999995,66092.588227,54500.206634999995,60266.085716999994
62092.853864000004,70739.159726,58227.488301,55619.834326
56333.53387,55420.404984,64592.835638000004,63968.781202
53475.80373,58856.225031,59382.964959000004,55897.798835
61483.303266999996,71376.433724,55619.834326,57537.148703
62398.587655,59949.738775,54460.767374999996,54460.767374999996
99070.615441,89314.046782,43886.188609,52027.445658
59027.013233000005,62092.853864000004,58093.410518,58048.774836
61357.917666999994,67609.428663,50724.70633,50247.748829000004
72700.830447,70539.525585,56702.70496,67296.22409599999
54205.14953899999,50550.878302,65561.613183,71196.328424
70282.782148,68577.51412400001,46927.162498000005,50655.717586
34416.845021,36264.605045,63367.26875999999,65842.31336
102521.391273,68851.52112800001,52154.472905999995,61807.807609999996
